utc_datetime,impact,currency,event,actual,forecast,previous
2017-11-02T13:00:00Z,High Impact Expected,USD,Non-Farm Employment Change,261K,312K,18K
2017-11-02T13:00:00Z,High Impact Expected,USD,Unemployment Rate,4.1%,4.2%,4.2%
2017-11-02T13:00:00Z,Medium Impact Expected,USD,Trade Balance,-43.5B,-43.3B,-42.8B
2017-11-03T13:00:00Z,,,,,,
2017-11-03T13:45:00Z,Low Impact Expected,USD,Final Services PMI,55.3,55.7,55.9
2017-11-03T14:00:00Z,High Impact Expected,USD,ISM Services PMI,60.1,58.5,59.8
2017-11-03T13:00:00Z,Medium Impact Expected,USD,Factory Orders m/m,1.4%,1.3%,1.2%
2017-11-03T16:15:00Z,Medium Impact Expected,USD,FOMC Member Kashkari Speaks,,,
2017-11-04T13:00:00Z,,,,,,
2017-11-05T07:00:00Z,Non-Economic,CAD,Daylight Saving Time Shift,,,
2017-11-04T13:00:00Z,Non-Economic,USD,Daylight Saving Time Shift,,,
2017-11-05T13:00:00Z,,,,,,
2017-11-05T23:50:00Z,Low Impact Expected,JPY,Monetary Policy Meeting Minutes,,,
2017-11-06T00:00:00Z,Low Impact Expected,AUD,MI Inflation Gauge m/m,0.3%,,0.3%
2017-11-05T13:00:00Z,Low Impact Expected,NZD,ANZ Commodity Prices m/m,-0.3%,,0.8%
2017-11-06T00:30:00Z,Low Impact Expected,AUD,ANZ Job Advertisements m/m,1.4%,,-0.7%
2017-11-06T01:00:00Z,High Impact Expected,JPY,BOJ Gov Kuroda Speaks,,,
2017-11-06T02:00:00Z,High Impact Expected,NZD,Inflation Expectations q/q,2.02%,,2.09%
2017-11-06T07:00:00Z,Low Impact Expected,EUR,German Factory Orders m/m,1.0%,-1.0%,4.1%
2017-11-06T08:15:00Z,Low Impact Expected,CHF,CPI m/m,0.1%,0.1%,0.2%
2017-11-05T13:00:00Z,Low Impact Expected,EUR,Spanish Services PMI,54.6,55.7,56.7
2017-11-06T08:45:00Z,Low Impact Expected,EUR,Italian Services PMI,52.1,53.1,53.2
2017-11-06T08:50:00Z,Low Impact Expected,EUR,French Final Services PMI,57.3,57.4,57.4
2017-11-06T08:55:00Z,Low Impact Expected,EUR,German Final Services PMI,54.7,55.2,55.2
2017-11-06T09:00:00Z,Low Impact Expected,EUR,Final Services PMI,55.0,54.9,54.9
2017-11-06T09:30:00Z,Low Impact Expected,EUR,Sentix Investor Confidence,34.0,31.2,29.7
2017-11-06T10:00:00Z,Low Impact Expected,EUR,PPI m/m,0.6%,0.4%,0.3%
2017-11-06,Medium Impact Expected,EUR,Eurogroup Meetings,,,
2017-11-06T13:00:00Z,,,,,,
2017-11-06T15:00:00Z,Medium Impact Expected,CAD,Ivey PMI,63.8,60.2,59.6
2017-11-06T17:10:00Z,Medium Impact Expected,USD,FOMC Member Dudley Speaks,,,
2017-11-06T19:00:00Z,Low Impact Expected,USD,Loan Officer Survey,,,
2017-11-06T22:30:00Z,Low Impact Expected,AUD,AIG Construction Index,53.2,,54.7
2017-11-07T00:00:00Z,Low Impact Expected,JPY,Average Cash Earnings y/y,0.9%,0.6%,0.7%
2017-11-07T00:01:00Z,Low Impact Expected,GBP,BRC Retail Sales Monitor y/y,-1.0%,,1.9%
2017-11-07T03:30:00Z,High Impact Expected,AUD,RBA Rate Statement,,,
2017-11-06T13:00:00Z,Medium Impact Expected,AUD,Cash Rate,1.50%,1.50%,1.50%
2017-11-07T07:00:00Z,Low Impact Expected,EUR,German Industrial Production m/m,-1.6%,-0.7%,2.6%
2017-11-07T08:00:00Z,Low Impact Expected,CHF,Foreign Currency Reserves,742B,,724B
2017-11-07T08:30:00Z,Low Impact Expected,EUR,French Gov Budget Balance,-76.3B,,-93.0B
2017-11-06T13:00:00Z,Medium Impact Expected,GBP,Halifax HPI m/m,0.3%,0.2%,0.8%
2017-11-07T09:00:00Z,High Impact Expected,EUR,ECB President Draghi Speaks,,,
2017-11-06T13:00:00Z,Low Impact Expected,EUR,Italian Retail Sales m/m,0.9%,0.2%,-0.2%
2017-11-07T09:10:00Z,Low Impact Expected,EUR,Retail PMI,51.1,,52.3
2017-11-07T10:00:00Z,Low Impact Expected,EUR,Retail Sales m/m,0.7%,0.6%,-0.1%
2017-11-07,Low Impact Expected,EUR,ECOFIN Meetings,,,
2017-11-07T13:00:00Z,,,,,,
2017-11-07T14:31:00Z,Medium Impact Expected,NZD,GDT Price Index,-3.5%,,-1.0%
2017-11-07T15:00:00Z,Low Impact Expected,USD,JOLTS Job Openings,6.09M,5.98M,6.09M
2017-11-07T13:00:00Z,Low Impact Expected,USD,RCM/TIPP Economic Optimism,53.6,51.2,50.3
2017-11-07T17:35:00Z,Medium Impact Expected,USD,FOMC Member Quarles Speaks,,,
2017-11-07T17:55:00Z,High Impact Expected,CAD,BOC Gov Poloz Speaks,,,
2017-11-07T19:30:00Z,High Impact Expected,USD,Fed Chair Yellen Speaks,,,
2017-11-07T20:00:00Z,Low Impact Expected,USD,Consumer Credit m/m,20.8B,18.4B,13.1B
2017-11-07T21:30:00Z,Low Impact Expected,USD,API Weekly Statistical Bulletin,,,
2017-11-08T03:40:00Z,Medium Impact Expected,CNY,Trade Balance,254B,275B,193B
2017-11-08T03:50:00Z,Low Impact Expected,CNY,USD-Denominated Trade Balance,38.2B,39.4B,28.5B
2017-11-08T05:00:00Z,Low Impact Expected,JPY,Leading Indicators,106.6%,106.7%,107.2%
2017-11-08T07:45:00Z,Low Impact Expected,EUR,French Trade Balance,-4.7B,-4.7B,-4.2B
2017-11-08T13:00:00Z,,,,,,
2017-11-08T13:13:00Z,Low Impact Expected,CAD,Housing Starts,223K,211K,219K
2017-11-08T13:30:00Z,Medium Impact Expected,CAD,Building Permits m/m,3.8%,0.7%,-5.1%
2017-11-08T15:30:00Z,High Impact Expected,USD,Crude Oil Inventories,2.2M,-2.5M,-2.4M
2017-11-08T18:01:00Z,Low Impact Expected,USD,10-y Bond Auction,2.31|2.5,,2.35|2.5
2017-11-08T20:00:00Z,High Impact Expected,NZD,RBNZ Rate Statement,,,
2017-11-08T13:00:00Z,Medium Impact Expected,NZD,Official Cash Rate,1.75%,1.75%,1.75%
2017-11-08T13:00:00Z,Medium Impact Expected,NZD,RBNZ Monetary Policy Statement,,,
2017-11-08T21:00:00Z,High Impact Expected,NZD,RBNZ Press Conference,,,
2017-11-08T23:50:00Z,Low Impact Expected,JPY,Bank Lending y/y,2.8%,3.0%,2.9%
2017-11-08T13:00:00Z,Low Impact Expected,JPY,BOJ Summary of Opinions,,,
2017-11-08T13:00:00Z,Low Impact Expected,JPY,Core Machinery Orders m/m,-8.1%,-1.8%,3.4%
2017-11-08T13:00:00Z,Low Impact Expected,JPY,Current Account,1.84T,2.05T,2.27T
2017-11-09T00:01:00Z,Low Impact Expected,GBP,RICS House Price Balance,1%,4%,6%
2017-11-09T00:30:00Z,Low Impact Expected,AUD,Home Loans m/m,-2.3%,2.5%,1.5%
2017-11-09T01:30:00Z,Medium Impact Expected,CNY,CPI y/y,1.9%,1.8%,1.6%
2017-11-08T13:00:00Z,Medium Impact Expected,CNY,PPI y/y,6.9%,6.6%,6.9%
2017-11-09T03:45:00Z,Low Impact Expected,JPY,30-y Bond Auction,0.79|3.4,,0.88|4.0
2017-11-09T05:00:00Z,Low Impact Expected,JPY,Economy Watchers Sentiment,52.2,50.7,51.3
2017-11-09T06:45:00Z,Low Impact Expected,CHF,Unemployment Rate,3.1%,3.1%,3.1%
2017-11-09T07:00:00Z,Low Impact Expected,EUR,German Trade Balance,21.8B,21.0B,21.3B
2017-11-09T09:00:00Z,Low Impact Expected,EUR,ECB Economic Bulletin,,,
2017-11-09T10:00:00Z,Medium Impact Expected,EUR,EU Economic Forecasts,,,
2017-11-09T13:00:00Z,,,,,,
2017-11-09T13:30:00Z,Medium Impact Expected,CAD,NHPI m/m,0.2%,0.2%,0.1%
2017-11-09T13:00:00Z,High Impact Expected,USD,Unemployment Claims,239K,232K,229K
2017-11-09T15:00:00Z,Low Impact Expected,USD,Final Wholesale Inventories m/m,0.3%,0.3%,0.3%
2017-11-09T15:30:00Z,Low Impact Expected,USD,Natural Gas Storage,15B,15B,65B
2017-11-09T16:30:00Z,High Impact Expected,CHF,SNB Chairman Jordan Speaks,,,
2017-11-09T18:01:00Z,Low Impact Expected,USD,30-y Bond Auction,2.80|2.2,,2.87|2.5
2017-11-09T23:50:00Z,Low Impact Expected,JPY,M2 Money Stock y/y,4.1%,4.1%,4.0%
2017-11-10T00:30:00Z,High Impact Expected,AUD,RBA Monetary Policy Statement,,,
2017-11-10T04:30:00Z,Low Impact Expected,JPY,Tertiary Industry Activity m/m,-0.2%,-0.1%,-0.1%
2017-11-10T07:45:00Z,Low Impact Expected,EUR,French Industrial Production m/m,0.6%,0.6%,-0.2%
2017-11-09T13:00:00Z,Low Impact Expected,EUR,French Prelim Private Payrolls q/q,0.2%,0.3%,0.4%
2017-11-10T09:00:00Z,Low Impact Expected,EUR,Italian Industrial Production m/m,-1.3%,-0.3%,1.2%
2017-11-10T09:30:00Z,High Impact Expected,GBP,Manufacturing Production m/m,0.7%,0.3%,0.4%
2017-11-09T13:00:00Z,Medium Impact Expected,GBP,Goods Trade Balance,-11.3B,-12.9B,-12.4B
2017-11-09T13:00:00Z,Low Impact Expected,GBP,Construction Output m/m,-1.6%,-0.6%,0.8%
2017-11-09T13:00:00Z,Low Impact Expected,GBP,Industrial Production m/m,0.7%,0.3%,0.3%
2017-11-10T12:02:00Z,Low Impact Expected,GBP,NIESR GDP Estimate,0.5%,,0.4%
2017-11-10T13:00:00Z,,,,,,
2017-11-10T15:00:00Z,Medium Impact Expected,USD,Prelim UoM Consumer Sentiment,97.8,100.8,100.7
2017-11-10T13:00:00Z,Low Impact Expected,USD,Prelim UoM Inflation Expectations,2.6%,,2.4%
2017-11-11T10:00:00Z,High Impact Expected,EUR,ECB President Draghi Speaks,,,
2017-11-11T13:00:00Z,,,,,,
2017-11-11T13:00:00Z,,,,,,
2017-11-12T13:00:00Z,,,,,,
2017-11-12T22:00:00Z,Medium Impact Expected,AUD,RBA Deputy Gov Debelle Speaks,,,
2017-11-12T23:50:00Z,Low Impact Expected,JPY,PPI y/y,3.4%,3.1%,3.1%
2017-11-13T00:01:00Z,Low Impact Expected,GBP,Rightmove HPI m/m,-0.8%,,1.1%
2017-11-13T00:10:00Z,Medium Impact Expected,USD,FOMC Member Harker Speaks,,,
2017-11-13T06:00:00Z,Low Impact Expected,JPY,Prelim Machine Tool Orders y/y,49.9%,,45.0%
2017-11-13T07:00:00Z,Low Impact Expected,EUR,German WPI m/m,0.0%,0.4%,0.6%
2017-11-13T08:00:00Z,Low Impact Expected,CNY,M2 Money Supply y/y,8.8%,9.2%,9.2%
2017-11-12T13:00:00Z,Low Impact Expected,CNY,New Loans,663B,781B,1270B
2017-11-13,Non-Economic,CAD,Bank Holiday,,,
2017-11-13T13:00:00Z,,,,,,
2017-11-13T17:45:00Z,High Impact Expected,JPY,BOJ Gov Kuroda Speaks,,,
2017-11-13T19:00:00Z,Low Impact Expected,USD,Federal Budget Balance,-63.2B,-58.2B,8.0B
2017-11-14T00:30:00Z,Medium Impact Expected,AUD,NAB Business Confidence,8,,8
2017-11-14T02:00:00Z,High Impact Expected,CNY,Industrial Production y/y,6.2%,6.3%,6.6%
2017-11-13T13:00:00Z,Medium Impact Expected,CNY,Fixed Asset Investment ytd/y,7.3%,7.3%,7.5%
2017-11-13T13:00:00Z,Low Impact Expected,CNY,Retail Sales y/y,10.0%,10.5%,10.3%
2017-11-14T03:34:00Z,Low Impact Expected,CNY,Foreign Direct Investment ytd/y,1.9%,,1.6%
2017-11-14T07:00:00Z,Medium Impact Expected,EUR,German Prelim GDP q/q,0.8%,0.6%,0.6%
2017-11-13T13:00:00Z,Low Impact Expected,EUR,German Final CPI m/m,0.0%,0.0%,0.0%
2017-11-14T08:05:00Z,Medium Impact Expected,USD,FOMC Member Evans Speaks,,,
2017-11-14T08:15:00Z,Medium Impact Expected,CHF,PPI m/m,0.5%,0.2%,0.5%
2017-11-14T09:00:00Z,Low Impact Expected,EUR,Italian Prelim GDP q/q,0.5%,0.5%,0.3%
2017-11-14T09:30:00Z,High Impact Expected,GBP,CPI y/y,3.0%,3.1%,3.0%
2017-11-13T13:00:00Z,Medium Impact Expected,GBP,PPI Input m/m,1.0%,0.8%,0.2%
2017-11-13T13:00:00Z,Medium Impact Expected,GBP,RPI y/y,4.0%,4.1%,3.9%
2017-11-13T13:00:00Z,Low Impact Expected,GBP,Core CPI y/y,2.7%,2.8%,2.7%
2017-11-13T13:00:00Z,Low Impact Expected,GBP,HPI y/y,5.4%,5.2%,4.8%
2017-11-13T13:00:00Z,Low Impact Expected,GBP,PPI Output m/m,0.2%,0.3%,0.2%
2017-11-14T10:00:00Z,High Impact Expected,EUR,ECB President Draghi Speaks,,,
2017-11-13T13:00:00Z,Medium Impact Expected,EUR,Flash GDP q/q,0.6%,0.6%,0.6%
2017-11-13T13:00:00Z,Medium Impact Expected,EUR,German ZEW Economic Sentiment,18.7,19.8,17.6
2017-11-13T13:00:00Z,Low Impact Expected,EUR,Industrial Production m/m,-0.6%,-0.6%,1.4%
2017-11-13T13:00:00Z,Low Impact Expected,EUR,ZEW Economic Sentiment,30.9,29.3,26.7
2017-11-13T13:00:00Z,High Impact Expected,GBP,BOE Gov Carney Speaks,,,
2017-11-13T13:00:00Z,High Impact Expected,JPY,BOJ Gov Kuroda Speaks,,,
2017-11-13T13:00:00Z,High Impact Expected,USD,Fed Chair Yellen Speaks,,,
2017-11-14T11:00:00Z,Low Impact Expected,USD,NFIB Small Business Index,103.8,104.2,103.0
2017-11-14T13:00:00Z,,,,,,
2017-11-14T13:30:00Z,High Impact Expected,USD,PPI m/m,0.4%,0.1%,0.4%
2017-11-14T13:00:00Z,Medium Impact Expected,USD,Core PPI m/m,0.4%,0.2%,0.4%
2017-11-14T17:30:00Z,Medium Impact Expected,GBP,MPC Member Cunliffe Speaks,,,
2017-11-14T21:30:00Z,Low Impact Expected,USD,API Weekly Statistical Bulletin,,,
2017-11-14T23:30:00Z,Low Impact Expected,AUD,Westpac Consumer Sentiment,-1.7%,,3.6%
2017-11-14T23:50:00Z,Medium Impact Expected,JPY,Prelim GDP q/q,0.3%,0.4%,0.6%
2017-11-14T13:00:00Z,Low Impact Expected,JPY,Prelim GDP Price Index y/y,0.1%,0.1%,-0.4%
2017-11-15T00:30:00Z,Medium Impact Expected,AUD,Wage Price Index q/q,0.5%,0.7%,0.5%
2017-11-15T04:33:00Z,Low Impact Expected,JPY,Revised Industrial Production m/m,-1.0%,-1.1%,-1.1%
2017-11-15T07:00:00Z,Medium Impact Expected,AUD,RBA Assist Gov Ellis Speaks,,,
2017-11-15T07:45:00Z,Low Impact Expected,EUR,French Final CPI m/m,0.1%,0.1%,0.1%
2017-11-15T08:00:00Z,Medium Impact Expected,USD,FOMC Member Evans Speaks,,,
2017-11-15T09:30:00Z,High Impact Expected,GBP,Average Earnings Index 3m/y,2.2%,2.1%,2.3%
2017-11-14T13:00:00Z,Medium Impact Expected,GBP,Claimant Count Change,1.1K,2.0K,2.6K
2017-11-14T13:00:00Z,Medium Impact Expected,GBP,Unemployment Rate,4.3%,4.3%,4.3%
2017-11-15T10:00:00Z,Low Impact Expected,EUR,Trade Balance,25.0B,21.2B,21.0B
2017-11-15T10:35:00Z,Low Impact Expected,EUR,German 10-y Bond Auction,0.36|1.2,,0.48|1.7
2017-11-15T13:00:00Z,,,,,,
2017-11-15T13:00:00Z,High Impact Expected,GBP,MPC Member Broadbent Speaks,,,
2017-11-15T13:30:00Z,High Impact Expected,USD,Core CPI m/m,0.2%,0.2%,0.1%
2017-11-15T13:00:00Z,High Impact Expected,USD,Core Retail Sales m/m,0.1%,0.2%,1.2%
2017-11-15T13:00:00Z,High Impact Expected,USD,CPI m/m,0.1%,0.1%,0.5%
2017-11-15T13:00:00Z,High Impact Expected,USD,CPI y/y,2.0%,2.0%,2.2%
2017-11-15T13:00:00Z,High Impact Expected,USD,Retail Sales m/m,0.2%,0.0%,1.9%
2017-11-15T13:00:00Z,Medium Impact Expected,USD,Empire State Manufacturing Index,19.4,25.5,30.2
2017-11-15T14:36:00Z,Low Impact Expected,GBP,CB Leading Index m/m,-0.2%,,-0.2%
2017-11-15T15:00:00Z,Low Impact Expected,USD,Business Inventories m/m,0.0%,0.0%,0.6%
2017-11-15T15:30:00Z,High Impact Expected,USD,Crude Oil Inventories,1.9M,-2.1M,2.2M
2017-11-15T21:00:00Z,Low Impact Expected,USD,TIC Long-Term Purchases,80.9B,34.6B,73.2B
2017-11-15T23:45:00Z,Medium Impact Expected,CAD,Gov Council Member Wilkins Speaks,,,
2017-11-15T23:59:00Z,Low Impact Expected,AUD,MI Inflation Expectations,3.7%,,4.3%
2017-11-16T00:30:00Z,High Impact Expected,AUD,Employment Change,3.7K,17.8K,26.6K
2017-11-15T13:00:00Z,High Impact Expected,AUD,Unemployment Rate,5.4%,5.5%,5.5%
2017-11-16T09:00:00Z,Low Impact Expected,EUR,Italian Trade Balance,3.99B,3.42B,2.76B
2017-11-16T09:30:00Z,High Impact Expected,GBP,Retail Sales m/m,0.3%,0.1%,-0.7%
2017-11-16T09:48:00Z,Low Impact Expected,EUR,Spanish 10-y Bond Auction,1.54|1.5,,1.46|1.3
2017-11-16T10:00:00Z,Medium Impact Expected,EUR,Final CPI y/y,1.4%,1.4%,1.4%
2017-11-15T13:00:00Z,Low Impact Expected,EUR,Final Core CPI y/y,0.9%,0.9%,0.9%
2017-11-16T10:36:00Z,Low Impact Expected,GBP,10-y Bond Auction,1.34|2.3,,1.32|2.1
2017-11-16T13:00:00Z,,,,,,
2017-11-16T13:30:00Z,Medium Impact Expected,CAD,Foreign Securities Purchases,16.81B,10.68B,9.77B
2017-11-16T13:00:00Z,Medium Impact Expected,CAD,Manufacturing Sales m/m,0.5%,-0.4%,1.4%
2017-11-16T13:00:00Z,High Impact Expected,USD,Unemployment Claims,249K,235K,239K
2017-11-16T13:00:00Z,Medium Impact Expected,USD,Import Prices m/m,0.2%,0.4%,0.8%
2017-11-16T13:38:00Z,Medium Impact Expected,USD,Philly Fed Manufacturing Index,22.7,24.5,27.9
