utc_datetime,impact,currency,event,actual,forecast,previous
2018-03-24T13:00:00Z,Non-Economic,GBP,Daylight Saving Time Shift,,,
2018-03-25T13:00:00Z,,,,,,
2018-03-25T21:45:00Z,Medium Impact Expected,NZD,Trade Balance,217M,-100M,-655M
2018-03-26T08:30:00Z,Low Impact Expected,GBP,High Street Lending,38.1K,39.2K,40.0K
2018-03-26T09:30:00Z,Medium Impact Expected,EUR,German Buba President Weidmann Speaks,,,
2018-03-26T13:00:00Z,,,,,,
2018-03-26T16:30:00Z,Medium Impact Expected,USD,FOMC Member Dudley Speaks,,,
2018-03-26T20:30:00Z,Medium Impact Expected,USD,FOMC Member Mester Speaks,,,
2018-03-26T23:10:00Z,Medium Impact Expected,USD,FOMC Member Quarles Speaks,,,
2018-03-26T23:50:00Z,Low Impact Expected,JPY,SPPI y/y,0.6%,0.7%,0.7%
2018-03-27T00:45:00Z,Medium Impact Expected,AUD,RBA Assist Gov Kent Speaks,,,
2018-03-27T01:15:00Z,Low Impact Expected,AUD,HIA New Home Sales m/m,-0.7%,,-2.1%
2018-03-27T05:00:00Z,Low Impact Expected,JPY,BOJ Core CPI y/y,0.8%,0.7%,0.8%
2018-03-27T06:00:00Z,Low Impact Expected,EUR,German Import Prices m/m,-0.6%,-0.3%,0.5%
2018-03-27T07:00:00Z,Medium Impact Expected,EUR,Spanish Flash CPI y/y,1.2%,1.5%,1.1%
2018-03-27T08:00:00Z,Medium Impact Expected,EUR,M3 Money Supply y/y,4.2%,4.6%,4.5%
2018-03-26T13:00:00Z,Low Impact Expected,EUR,Private Loans y/y,2.9%,3.0%,2.9%
2018-03-27T08:30:00Z,Low Impact Expected,GBP,FPC Meeting Minutes,,,
2018-03-27T13:00:00Z,,,,,,
2018-03-27T13:00:00Z,Low Impact Expected,USD,S&P/CS Composite-20 HPI y/y,6.4%,6.1%,6.3%
2018-03-27T14:00:00Z,High Impact Expected,USD,CB Consumer Confidence,127.7,131.2,130.0
2018-03-27T13:00:00Z,Low Impact Expected,USD,Richmond Manufacturing Index,15,23,28
2018-03-27T15:00:00Z,Medium Impact Expected,USD,FOMC Member Bostic Speaks,,,
2018-03-27T20:30:00Z,Low Impact Expected,USD,API Weekly Statistical Bulletin,,,
2018-03-28T00:00:00Z,High Impact Expected,NZD,ANZ Business Confidence,-20.0,,-19.0
2018-03-28T06:00:00Z,Low Impact Expected,EUR,German GfK Consumer Climate,10.9,10.7,10.8
2018-03-28T08:00:00Z,Medium Impact Expected,CHF,UBS Economic Expectations,16.7,,25.8
2018-03-28T09:21:00Z,Low Impact Expected,EUR,Italian 10-y Bond Auction,1.83|1.3,,2.06|1.4
2018-03-28T10:00:00Z,Low Impact Expected,GBP,CBI Realized Sales,-8,7,8
2018-03-28T12:30:00Z,High Impact Expected,USD,Final GDP q/q,2.9%,2.7%,2.5%
2018-03-27T13:00:00Z,Low Impact Expected,USD,Final GDP Price Index q/q,2.3%,2.3%,2.3%
2018-03-27T13:00:00Z,Low Impact Expected,USD,Goods Trade Balance,-75.4B,-74.4B,-75.3B
2018-03-27T13:00:00Z,Low Impact Expected,USD,Prelim Wholesale Inventories m/m,1.1%,0.6%,0.8%
2018-03-28T13:00:00Z,,,,,,
2018-03-28T14:00:00Z,Low Impact Expected,USD,Pending Home Sales m/m,3.1%,2.1%,-5.0%
2018-03-28T14:30:00Z,High Impact Expected,USD,Crude Oil Inventories,1.6M,0.5M,-2.6M
2018-03-28T16:00:00Z,Medium Impact Expected,USD,FOMC Member Bostic Speaks,,,
2018-03-28T21:45:00Z,Low Impact Expected,NZD,Building Consents m/m,5.7%,,0.0%
2018-03-28T23:01:00Z,Low Impact Expected,GBP,GfK Consumer Confidence,-7,-10,-10
2018-03-28T23:50:00Z,Low Impact Expected,JPY,Retail Sales y/y,1.6%,1.7%,1.5%
2018-03-29T00:30:00Z,Low Impact Expected,AUD,Private Sector Credit m/m,0.4%,0.3%,0.2%
2018-03-29T06:00:00Z,Low Impact Expected,GBP,Nationwide HPI m/m,-0.2%,0.2%,-0.4%
2018-03-29,Medium Impact Expected,EUR,German Prelim CPI m/m,0.4%,0.5%,0.5%
2018-03-29T07:00:00Z,Medium Impact Expected,CHF,KOF Economic Barometer,106.0,107.3,108.4
2018-03-29T07:55:00Z,Low Impact Expected,EUR,German Unemployment Change,-19K,-15K,-23K
2018-03-29T08:30:00Z,High Impact Expected,GBP,Current Account,-18.4B,-24.0B,-19.2B
2018-03-28T13:00:00Z,Medium Impact Expected,GBP,Final GDP q/q,0.4%,0.4%,0.4%
2018-03-28T13:00:00Z,Medium Impact Expected,GBP,Net Lending to Individuals m/m,5.4B,4.8B,4.8B
2018-03-28T13:00:00Z,Low Impact Expected,GBP,Index of Services 3m/3m,0.6%,0.6%,0.4%
2018-03-28T13:00:00Z,Low Impact Expected,GBP,M4 Money Supply m/m,-0.3%,1.3%,1.5%
2018-03-28T13:00:00Z,Low Impact Expected,GBP,Mortgage Approvals,64K,66K,67K
2018-03-28T13:00:00Z,Low Impact Expected,GBP,Revised Business Investment q/q,0.3%,0.0%,0.0%
2018-03-29T12:30:00Z,High Impact Expected,CAD,GDP m/m,-0.1%,0.1%,0.2%
2018-03-28T13:00:00Z,Medium Impact Expected,CAD,RMPI m/m,-0.3%,2.8%,3.4%
2018-03-28T13:00:00Z,Low Impact Expected,CAD,IPPI m/m,0.1%,0.4%,0.4%
2018-03-28T13:00:00Z,Medium Impact Expected,USD,Core PCE Price Index m/m,0.2%,0.2%,0.3%
2018-03-28T13:00:00Z,Medium Impact Expected,USD,Personal Spending m/m,0.2%,0.2%,0.2%
2018-03-28T13:00:00Z,Medium Impact Expected,USD,Unemployment Claims,215K,230K,229K
2018-03-28T13:00:00Z,Low Impact Expected,USD,Personal Income m/m,0.4%,0.4%,0.4%
2018-03-29T13:00:00Z,,,,,,
2018-03-29T13:45:00Z,Medium Impact Expected,USD,Chicago PMI,57.4,62.1,61.9
2018-03-29T14:00:00Z,Medium Impact Expected,USD,Revised UoM Consumer Sentiment,101.4,101.9,102.0
2018-03-29T13:00:00Z,Low Impact Expected,USD,Revised UoM Inflation Expectations,2.8%,,2.9%
2018-03-29T14:30:00Z,Low Impact Expected,USD,Natural Gas Storage,-63B,-75B,-86B
2018-03-30,Non-Economic,NZD,Bank Holiday,,,
2018-03-30,Non-Economic,AUD,Bank Holiday,,,
2018-03-29T23:30:00Z,Low Impact Expected,JPY,Tokyo Core CPI y/y,0.8%,0.9%,0.9%
2018-03-29T13:00:00Z,Low Impact Expected,JPY,Unemployment Rate,2.5%,2.6%,2.4%
2018-03-29T23:50:00Z,Low Impact Expected,JPY,Prelim Industrial Production m/m,4.1%,5.1%,-6.8%
2018-03-30T05:00:00Z,Low Impact Expected,JPY,Housing Starts y/y,-2.6%,-4.1%,-13.2%
2018-03-30,Non-Economic,CHF,Bank Holiday,,,
2018-03-30,Non-Economic,EUR,German Bank Holiday,,,
2018-03-30T06:45:00Z,Low Impact Expected,EUR,French Consumer Spending m/m,2.4%,2.2%,-1.9%
2018-03-29T13:00:00Z,Low Impact Expected,EUR,French Prelim CPI m/m,1.0%,0.8%,0.0%
2018-03-30,Non-Economic,GBP,Bank Holiday,,,
2018-03-30T09:00:00Z,Low Impact Expected,EUR,Italian Prelim CPI m/m,0.4%,0.1%,0.0%
2018-03-30,Non-Economic,CAD,Bank Holiday,,,
2018-03-30T13:00:00Z,,,,,,
2018-03-31T01:00:00Z,Medium Impact Expected,CNY,Manufacturing PMI,51.5,50.5,50.3
2018-03-30T13:00:00Z,Medium Impact Expected,CNY,Non-Manufacturing PMI,54.6,54.5,54.4
2018-03-31T13:00:00Z,,,,,,
2018-03-31T14:00:00Z,Non-Economic,NZD,Daylight Saving Time Shift,,,
2018-03-31T15:00:00Z,Non-Economic,AUD,Daylight Saving Time Shift,,,
2018-04-01T14:00:00Z,,,,,,
2018-04-02,Non-Economic,NZD,Bank Holiday,,,
2018-04-02,Non-Economic,AUD,Bank Holiday,,,
2018-04-01T23:50:00Z,Low Impact Expected,JPY,Tankan Manufacturing Index,24,25,25
2018-04-01T14:00:00Z,Low Impact Expected,JPY,Tankan Non-Manufacturing Index,23,24,23
2018-04-02T00:30:00Z,Low Impact Expected,JPY,Final Manufacturing PMI,53.1,53.2,53.2
2018-04-02T01:00:00Z,Low Impact Expected,AUD,MI Inflation Gauge m/m,0.1%,,-0.1%
2018-04-02T01:45:00Z,Medium Impact Expected,CNY,Caixin Manufacturing PMI,51.0,51.8,51.6
2018-04-02,Non-Economic,CHF,Bank Holiday,,,
2018-04-02,Non-Economic,EUR,French Bank Holiday,,,
2018-04-02,Non-Economic,EUR,German Bank Holiday,,,
2018-04-02,Non-Economic,EUR,Italian Bank Holiday,,,
2018-04-02,Non-Economic,GBP,Bank Holiday,,,
2018-04-02T13:30:00Z,Low Impact Expected,CAD,Manufacturing PMI,55.7,,55.6
2018-04-02T13:45:00Z,Low Impact Expected,USD,Final Manufacturing PMI,55.6,55.7,55.7
2018-04-02T14:00:00Z,,,,,,
2018-04-02T14:00:00Z,High Impact Expected,USD,ISM Manufacturing PMI,59.3,60.1,60.8
2018-04-02T14:00:00Z,Low Impact Expected,USD,Construction Spending m/m,0.1%,0.4%,0.0%
2018-04-02T14:00:00Z,Low Impact Expected,USD,ISM Manufacturing Prices,78.1,72.5,74.2
2018-04-02T22:30:00Z,Low Impact Expected,AUD,AIG Manufacturing Index,63.1,,57.5
2018-04-02T23:50:00Z,Low Impact Expected,JPY,Monetary Base y/y,9.1%,9.6%,9.4%
2018-04-03T01:30:00Z,Low Impact Expected,AUD,ANZ Job Advertisements m/m,0.0%,,-0.4%
2018-04-03T03:45:00Z,Low Impact Expected,JPY,10-y Bond Auction,0.03|4.2,,0.06|4.5
2018-04-03T04:30:00Z,High Impact Expected,AUD,RBA Rate Statement,,,
2018-04-02T14:00:00Z,Medium Impact Expected,AUD,Cash Rate,1.50%,1.50%,1.50%
2018-04-03T06:00:00Z,Medium Impact Expected,EUR,German Retail Sales m/m,-0.7%,0.7%,-0.3%
2018-04-03T06:30:00Z,Low Impact Expected,AUD,Commodity Prices y/y,-2.1%,,-2.8%
2018-04-03T07:00:00Z,Low Impact Expected,EUR,Spanish Unemployment Change,-47.7K,-47.5K,-6.3K
2018-04-03T07:15:00Z,Low Impact Expected,CHF,Retail Sales y/y,-0.2%,-0.7%,-0.4%
2018-04-02T14:00:00Z,Low Impact Expected,EUR,Spanish Manufacturing PMI,54.8,54.7,56.0
2018-04-03T07:30:00Z,Low Impact Expected,CHF,Manufacturing PMI,60.3,64.3,65.5
2018-04-03T07:45:00Z,Low Impact Expected,EUR,Italian Manufacturing PMI,55.1,55.6,56.8
2018-04-03T07:50:00Z,Low Impact Expected,EUR,French Final Manufacturing PMI,53.7,53.6,53.6
2018-04-03T07:55:00Z,Low Impact Expected,EUR,German Final Manufacturing PMI,58.2,58.4,58.4
2018-04-03T08:00:00Z,Low Impact Expected,EUR,Final Manufacturing PMI,56.6,56.6,56.6
2018-04-03T08:30:00Z,High Impact Expected,GBP,Final Manufacturing PMI,55.1,54.8,55.0
2018-04-03T14:00:00Z,,,,,,
2018-04-03T14:05:00Z,Low Impact Expected,USD,RCM/TIPP Economic Optimism,52.6,55.2,55.6
2018-04-03T14:33:00Z,Medium Impact Expected,NZD,GDT Price Index,-0.6%,,-1.2%
2018-04-04,Low Impact Expected,USD,Total Vehicle Sales,17.5M,16.9M,17.1M
2018-04-04,Low Impact Expected,USD,Wards Total Vehicle Sales,17.4M,16.9M,17.0M
2018-04-03T20:30:00Z,Medium Impact Expected,USD,FOMC Member Brainard Speaks,,,
2018-04-03T14:00:00Z,Low Impact Expected,USD,API Weekly Statistical Bulletin,,,
2018-04-03T23:01:00Z,Low Impact Expected,GBP,BRC Shop Price Index y/y,-1.0%,,-0.8%
2018-04-04T01:30:00Z,High Impact Expected,AUD,Retail Sales m/m,0.6%,0.3%,0.2%
2018-04-03T14:00:00Z,Medium Impact Expected,AUD,Building Approvals m/m,-6.2%,-5.1%,17.2%
2018-04-04T01:45:00Z,Medium Impact Expected,CNY,Caixin Services PMI,52.3,54.5,54.2
2018-04-04T08:00:00Z,Low Impact Expected,EUR,Italian Monthly Unemployment Rate,10.9%,11.0%,11.1%
2018-04-04T08:30:00Z,High Impact Expected,GBP,Construction PMI,47.0,50.9,51.4
2018-04-04T09:00:00Z,Medium Impact Expected,EUR,Core CPI Flash Estimate y/y,1.0%,1.1%,1.0%
2018-04-03T14:00:00Z,Medium Impact Expected,EUR,CPI Flash Estimate y/y,1.4%,1.4%,1.1%
2018-04-03T14:00:00Z,Low Impact Expected,EUR,Unemployment Rate,8.5%,8.5%,8.6%
2018-04-04T12:15:00Z,High Impact Expected,USD,ADP Non-Farm Employment Change,241K,208K,246K
2018-04-04T13:45:00Z,Low Impact Expected,USD,Final Services PMI,54.0,54.3,54.1
2018-04-04T14:00:00Z,,,,,,
2018-04-04T14:00:00Z,High Impact Expected,USD,ISM Services PMI,58.8,59.0,59.5
2018-04-04T14:00:00Z,Low Impact Expected,USD,Factory Orders m/m,1.2%,1.7%,-1.3%
2018-04-04T14:30:00Z,High Impact Expected,USD,Crude Oil Inventories,-4.6M,1.4M,1.6M
2018-04-04T15:00:00Z,Medium Impact Expected,USD,FOMC Member Mester Speaks,,,
2018-04-04T22:30:00Z,Low Impact Expected,AUD,AIG Services Index,56.9,,54.0
2018-04-05,Non-Economic,CNY,Bank Holiday,,,
2018-04-05T01:00:00Z,Low Impact Expected,NZD,ANZ Commodity Prices m/m,1.2%,,2.8%
2018-04-05T01:30:00Z,High Impact Expected,AUD,Goods Trade Balance,0.83B,0.68B,0.95B
2018-04-05T06:00:00Z,Low Impact Expected,EUR,German Factory Orders m/m,0.3%,1.6%,-3.5%
2018-04-05T07:15:00Z,Low Impact Expected,CHF,CPI m/m,0.4%,0.2%,0.4%
2018-04-04T14:00:00Z,Low Impact Expected,EUR,Spanish Services PMI,56.2,56.2,57.3
2018-04-05T07:45:00Z,Low Impact Expected,EUR,Italian Services PMI,52.6,53.9,55.0
2018-04-05T07:50:00Z,Low Impact Expected,EUR,French Final Services PMI,56.9,56.8,56.8
2018-04-05T07:55:00Z,Low Impact Expected,EUR,German Final Services PMI,53.9,54.2,54.2
2018-04-05T08:00:00Z,Low Impact Expected,EUR,Final Services PMI,54.9,55.0,55.0
2018-04-05T08:30:00Z,High Impact Expected,GBP,Final Services PMI,51.7,53.9,54.5
2018-04-05T08:57:00Z,Low Impact Expected,EUR,Spanish 10-y Bond Auction,1.15|1.5,,1.36|1.3
2018-04-05T09:00:00Z,Low Impact Expected,EUR,PPI m/m,0.1%,0.0%,0.4%
2018-04-04T14:00:00Z,Low Impact Expected,EUR,Retail Sales m/m,0.1%,0.6%,-0.3%
2018-04-05T09:03:00Z,Low Impact Expected,EUR,French 10-y Bond Auction,0.74|1.9,,0.90|1.9
2018-04-05T11:30:00Z,Low Impact Expected,USD,Challenger Job Cuts y/y,39.4%,,-4.3%
2018-04-05T12:30:00Z,High Impact Expected,CAD,Trade Balance,-2.7B,-2.1B,-1.9B
2018-04-04T14:00:00Z,Medium Impact Expected,USD,Unemployment Claims,242K,225K,218K
2018-04-04T14:00:00Z,Low Impact Expected,USD,Trade Balance,-57.6B,-56.9B,-56.7B
2018-04-05T14:00:00Z,,,,,,
2018-04-05T14:30:00Z,Low Impact Expected,USD,Natural Gas Storage,-29B,-29B,-63B
2018-04-05T16:00:00Z,Medium Impact Expected,CHF,Gov Board Member Maechler Speaks,,,
2018-04-05T17:00:00Z,Medium Impact Expected,USD,FOMC Member Bostic Speaks,,,
2018-04-05T23:30:00Z,Low Impact Expected,JPY,Household Spending y/y,-0.9%,0.3%,1.9%
2018-04-06T00:00:00Z,Low Impact Expected,JPY,Average Cash Earnings y/y,1.3%,0.5%,1.2%
2018-04-06,Non-Economic,CNY,Bank Holiday,,,
2018-04-06T05:00:00Z,Low Impact Expected,JPY,Leading Indicators,105.8%,105.5%,105.6%
2018-04-06T06:00:00Z,Low Impact Expected,EUR,German Industrial Production m/m,-1.6%,0.2%,0.1%
2018-04-06T06:45:00Z,Low Impact Expected,EUR,French Gov Budget Balance,-28.5B,,-10.8B
2018-04-05T14:00:00Z,Low Impact Expected,EUR,French Trade Balance,-5.2B,-5.3B,-5.4B
2018-04-06T07:00:00Z,Low Impact Expected,CHF,Foreign Currency Reserves,738B,,732B
2018-04-06T08:10:00Z,Low Impact Expected,EUR,Retail PMI,50.1,,52.3
2018-04-06T08:30:00Z,Low Impact Expected,GBP,Housing Equity Withdrawal q/q,-6.7B,-6.7B,-6.3B
2018-04-06T12:30:00Z,High Impact Expected,CAD,Employment Change,32.3K,20.1K,15.4K
2018-04-05T14:00:00Z,High Impact Expected,CAD,Unemployment Rate,5.8%,5.8%,5.8%
2018-04-05T14:00:00Z,High Impact Expected,USD,Average Hourly Earnings m/m,0.3%,0.3%,0.1%
2018-04-05T14:00:00Z,High Impact Expected,USD,Non-Farm Employment Change,103K,188K,326K
2018-04-05T14:00:00Z,High Impact Expected,USD,Unemployment Rate,4.1%,4.0%,4.1%
2018-04-06T14:00:00Z,,,,,,
2018-04-06T14:00:00Z,Medium Impact Expected,CAD,Ivey PMI,59.8,60.2,59.6
2018-04-06T15:15:00Z,High Impact Expected,GBP,BOE Gov Carney Speaks,,,
2018-04-06T17:30:00Z,High Impact Expected,USD,Fed Chair Powell Speaks,,,
2018-04-06T19:00:00Z,Low Impact Expected,USD,Consumer Credit m/m,10.6B,15.3B,15.6B
2018-04-07T14:00:00Z,,,,,,
2018-04-07T14:00:00Z,,,,,,
2018-04-08T14:00:00Z,,,,,,
2018-04-08T22:30:00Z,Low Impact Expected,AUD,AIG Construction Index,57.2,,56.0
2018-04-08T23:50:00Z,Low Impact Expected,JPY,Current Account,1.02T,1.39T,2.02T
2018-04-09T05:03:00Z,Low Impact Expected,JPY,Consumer Confidence,44.3,44.6,44.3
2018-04-09T05:45:00Z,Low Impact Expected,CHF,Unemployment Rate,2.9%,2.9%,2.9%
2018-04-09T06:00:00Z,Low Impact Expected,EUR,German Trade Balance,19.2B,23.1B,21.5B
2018-04-08T14:00:00Z,Low Impact Expected,JPY,Economy Watchers Sentiment,48.9,48.1,48.6
2018-04-09T07:30:00Z,Medium Impact Expected,GBP,Halifax HPI m/m,1.5%,0.1%,0.5%
2018-04-09T08:30:00Z,Low Impact Expected,EUR,Sentix Investor Confidence,19.6,21.2,24.0
2018-04-09T14:00:00Z,,,,,,
2018-04-09T14:30:00Z,High Impact Expected,CAD,BOC Business Outlook Survey,,,
2018-04-09T22:00:00Z,Medium Impact Expected,NZD,NZIER Business Confidence,-11,,-12
2018-04-09T23:01:00Z,Low Impact Expected,GBP,BRC Retail Sales Monitor y/y,1.4%,,0.6%
2018-04-10T01:30:00Z,Medium Impact Expected,AUD,NAB Business Confidence,7,,9
2018-04-10T05:57:00Z,Low Impact Expected,JPY,Prelim Machine Tool Orders y/y,28.1%,,39.5%
2018-04-10T06:45:00Z,Low Impact Expected,EUR,French Industrial Production m/m,1.2%,1.5%,-1.8%
2018-04-10T08:00:00Z,Low Impact Expected,EUR,Italian Industrial Production m/m,-0.5%,1.0%,-1.8%
2018-04-10T09:00:00Z,Medium Impact Expected,GBP,MPC Member Haldane Speaks,,,
2018-04-10T10:00:00Z,Low Impact Expected,USD,NFIB Small Business Index,104.7,107.0,107.6
2018-04-10T12:13:00Z,Low Impact Expected,CAD,Housing Starts,225K,219K,231K
2018-04-10T12:30:00Z,Medium Impact Expected,CAD,Building Permits m/m,-2.6%,-1.5%,5.2%
2018-04-09T14:00:00Z,High Impact Expected,USD,PPI m/m,0.3%,0.1%,0.2%
2018-04-09T14:00:00Z,Medium Impact Expected,USD,Core PPI m/m,0.3%,0.2%,0.2%
2018-04-10T14:00:00Z,,,,,,
2018-04-10T14:00:00Z,Low Impact Expected,USD,Final Wholesale Inventories m/m,1.0%,0.8%,1.1%
2018-04-10T20:30:00Z,Low Impact Expected,USD,API Weekly Statistical Bulletin,,,
2018-04-10T23:50:00Z,Low Impact Expected,JPY,Bank Lending y/y,2.0%,2.1%,2.1%
2018-04-10T14:00:00Z,Low Impact Expected,JPY,Core Machinery Orders m/m,2.1%,-2.6%,8.2%
2018-04-10T14:00:00Z,Low Impact Expected,JPY,PPI y/y,2.1%,2.1%,2.6%
2018-04-11T00:30:00Z,Low Impact Expected,AUD,Westpac Consumer Sentiment,-0.6%,,0.2%
2018-04-11T01:30:00Z,Medium Impact Expected,CNY,CPI y/y,2.1%,2.6%,2.9%
2018-04-10T14:00:00Z,Medium Impact Expected,CNY,PPI y/y,3.1%,3.2%,3.7%
2018-04-11T05:00:00Z,High Impact Expected,AUD,RBA Gov Lowe Speaks,,,
2018-04-11T08:00:00Z,Low Impact Expected,EUR,Italian Retail Sales m/m,0.4%,0.3%,-0.5%
2018-04-11T08:30:00Z,High Impact Expected,GBP,Manufacturing Production m/m,-0.2%,0.2%,0.0%
2018-04-10T14:00:00Z,Medium Impact Expected,GBP,Goods Trade Balance,-10.2B,-12.0B,-12.2B
2018-04-10T14:00:00Z,Low Impact Expected,GBP,Construction Output m/m,-1.6%,0.7%,-3.1%
2018-04-10T14:00:00Z,Low Impact Expected,GBP,Industrial Production m/m,0.1%,0.4%,1.3%
2018-04-11T09:34:00Z,Low Impact Expected,EUR,German 30-y Bond Auction,1.12|1.0,,1.27|1.1
2018-04-11T11:08:00Z,Low Impact Expected,GBP,NIESR GDP Estimate,0.2%,,0.1%
2018-04-11T11:10:00Z,Medium Impact Expected,EUR,ECB President Draghi Speaks,,,
2018-04-11T12:30:00Z,High Impact Expected,USD,Core CPI m/m,0.2%,0.2%,0.2%
2018-04-10T14:00:00Z,High Impact Expected,USD,CPI m/m,-0.1%,0.0%,0.2%
2018-04-10T14:00:00Z,High Impact Expected,USD,CPI y/y,2.4%,2.4%,2.2%
2018-04-11T14:00:00Z,,,,,,
2018-04-11T14:30:00Z,High Impact Expected,USD,Crude Oil Inventories,3.3M,-0.6M,-4.6M
2018-04-11T17:01:00Z,Low Impact Expected,USD,10-y Bond Auction,2.80|2.5,,2.89|2.5
2018-04-11T18:00:00Z,High Impact Expected,USD,FOMC Meeting Minutes,,,
2018-04-11T14:00:00Z,Low Impact Expected,USD,Federal Budget Balance,-208.7B,-191.0B,-215.2B
2018-04-11T23:00:00Z,Medium Impact Expected,NZD,RBNZ Assist Gov McDermott Speaks,,,
2018-04-11T23:01:00Z,Low Impact Expected,GBP,RICS House Price Balance,0%,2%,0%
2018-04-11T23:50:00Z,Low Impact Expected,JPY,M2 Money Stock y/y,3.2%,3.2%,3.2%
2018-04-12T00:30:00Z,High Impact Expected,JPY,BOJ Gov Kuroda Speaks,,,
2018-04-12T01:00:00Z,Low Impact Expected,AUD,MI Inflation Expectations,3.6%,,3.7%
2018-04-12T01:30:00Z,Low Impact Expected,AUD,Home Loans m/m,-0.2%,-0.3%,-1.0%
2018-04-12T02:00:00Z,Low Impact Expected,CNY,Foreign Direct Investment ytd/y,0.5%,,0.5%
2018-04-12T03:45:00Z,Low Impact Expected,JPY,30-y Bond Auction,0.71|4.3,,0.75|4.2
2018-04-12T06:30:00Z,Medium Impact Expected,GBP,MPC Member Broadbent Speaks,,,
2018-04-12T06:45:00Z,Low Impact Expected,EUR,French Final CPI m/m,1.0%,1.0%,1.0%
2018-04-12T08:30:00Z,Medium Impact Expected,GBP,BOE Credit Conditions Survey,,,
2018-04-12T09:00:00Z,Low Impact Expected,EUR,Industrial Production m/m,-0.8%,0.1%,-0.6%
2018-04-12T11:30:00Z,High Impact Expected,EUR,ECB Monetary Policy Meeting Accounts,,,
2018-04-12T12:30:00Z,Medium Impact Expected,CAD,NHPI m/m,-0.2%,0.1%,0.0%
2018-04-11T14:00:00Z,Medium Impact Expected,USD,Unemployment Claims,233K,231K,242K
2018-04-11T14:00:00Z,Low Impact Expected,USD,Import Prices m/m,0.0%,0.2%,0.3%
2018-04-12T14:00:00Z,,,,,,
2018-04-12T14:30:00Z,Low Impact Expected,USD,Natural Gas Storage,-19B,-11B,-29B
2018-04-12T16:00:00Z,Medium Impact Expected,EUR,German Buba President Weidmann Speaks,,,
2018-04-12T17:01:00Z,Low Impact Expected,USD,30-y Bond Auction,3.04|2.4,,3.11|2.4
2018-04-12T19:00:00Z,High Impact Expected,GBP,BOE Gov Carney Speaks,,,
2018-04-12T22:30:00Z,Medium Impact Expected,NZD,BusinessNZ Manufacturing Index,52.2,,53.3
2018-04-13T01:30:00Z,Medium Impact Expected,AUD,RBA Financial Stability Review,,,
2018-04-13T03:09:00Z,Medium Impact Expected,CNY,Trade Balance,-30B,179B,225B
2018-04-13T03:10:00Z,Low Impact Expected,CNY,USD-Denominated Trade Balance,-5.0B,27.1B,33.7B
2018-04-13T06:00:00Z,Low Impact Expected,EUR,German Final CPI m/m,0.4%,0.4%,0.4%
2018-04-13T08:00:00Z,Low Impact Expected,CNY,M2 Money Supply y/y,8.2%,8.9%,8.8%
2018-04-12T14:00:00Z,Low Impact Expected,CNY,New Loans,1120B,1326B,839B
2018-04-13T09:00:00Z,Low Impact Expected,EUR,Trade Balance,21.0B,20.2B,20.2B
2018-04-13T14:00:00Z,,,,,,
2018-04-13T14:00:00Z,Medium Impact Expected,USD,Prelim UoM Consumer Sentiment,97.8,100.6,101.4
2018-04-13T14:00:00Z,Low Impact Expected,USD,JOLTS Job Openings,6.05M,6.11M,6.23M
2018-04-13T14:00:00Z,Low Impact Expected,USD,Prelim UoM Inflation Expectations,2.7%,,2.8%
2018-04-13T21:00:00Z,Medium Impact Expected,USD,Treasury Currency Report,,,
2018-04-14T14:00:00Z,,,,,,
2018-04-14T14:00:00Z,,,,,,
2018-04-15T14:00:00Z,,,,,,
2018-04-15T22:30:00Z,Low Impact Expected,NZD,BusinessNZ Services Index,58.8,,55.3
2018-04-15T22:45:00Z,Low Impact Expected,NZD,FPI m/m,1.0%,,-0.5%
2018-04-15T23:01:00Z,Low Impact Expected,GBP,Rightmove HPI m/m,0.4%,,1.5%
2018-04-16T05:52:00Z,Low Impact Expected,EUR,German WPI m/m,0.0%,0.4%,-0.3%
2018-04-16T07:15:00Z,Medium Impact Expected,CHF,PPI m/m,-0.2%,0.4%,0.3%
2018-04-16T12:30:00Z,High Impact Expected,USD,Core Retail Sales m/m,0.2%,0.2%,0.2%
2018-04-15T14:00:00Z,High Impact Expected,USD,Retail Sales m/m,0.6%,0.4%,-0.1%
2018-04-15T14:00:00Z,Medium Impact Expected,USD,Empire State Manufacturing Index,15.8,19.8,22.5
2018-04-16T13:30:00Z,Low Impact Expected,GBP,CB Leading Index m/m,-0.4%,,0.0%
2018-04-16T14:00:00Z,,,,,,
2018-04-16T14:00:00Z,Low Impact Expected,USD,Business Inventories m/m,0.6%,0.6%,0.6%
2018-04-16T14:00:00Z,Low Impact Expected,USD,NAHB Housing Market Index,69,71,70
2018-04-16T17:15:00Z,Medium Impact Expected,USD,FOMC Member Bostic Speaks,,,
2018-04-16T20:00:00Z,Low Impact Expected,USD,TIC Long-Term Purchases,49.0B,52.3B,61.4B
2018-04-17T01:30:00Z,High Impact Expected,AUD,Monetary Policy Meeting Minutes,,,
2018-04-17T02:00:00Z,High Impact Expected,CNY,GDP q/y,6.8%,6.8%,6.8%
2018-04-16T14:00:00Z,Medium Impact Expected,CNY,Fixed Asset Investment ytd/y,7.5%,7.7%,7.9%
2018-04-16T14:00:00Z,Medium Impact Expected,CNY,Industrial Production y/y,6.0%,6.4%,7.2%
2018-04-16T14:00:00Z,Medium Impact Expected,CNY,NBS Press Conference,,,
2018-04-16T14:00:00Z,Low Impact Expected,CNY,Retail Sales y/y,10.1%,9.7%,9.7%
